,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OI
20230322,1955.457030838389,1960.8291655384946,1943.8174056548264,1950.0848961382833,1951.42792981331,52690.0,126564.0
20230323,1944.2650835465024,1948.2941845715811,1908.450852212466,1911.5845974541946,1928.1486794461866,107404.0,139325.0
20230324,1907.10781853744,1919.195121612677,1899.9449722706327,1908.8985301041416,1909.3462079958167,73467.0,135786.0
20230327,1920.985833179379,1927.7010015545104,1903.974073295712,1910.241563779168,1914.2706648042472,57717.0,138837.0
20230328,1911.5845974541946,1936.65455938802,1896.8112270289043,1933.0731362546162,1919.6427995043525,83629.0,130024.0
20230329,1933.0731362546162,1935.3115257129928,1920.985833179379,1934.4161699296426,1928.1486794461866,57543.0,126724.0
20230330,1930.834746796239,1949.637218246608,1923.224222637756,1933.5208141462922,1935.759203604669,67153.0,113483.0
20230331,1930.3870689045639,1947.398828788231,1927.2533236628353,1941.1313383047745,1937.997593063047,55470.0,99334.0
20230403,1933.5208141462922,1942.9220498714762,1919.195121612677,1935.759203604669,1931.2824246879145,53858.0,97816.0
20230404,1931.7301025795896,1935.759203604669,1916.9567321543,1926.8056457711602,1925.014934204458,38991.0,99299.0
20230406,1916.061376370949,1921.8811889627289,1903.974073295712,1906.2124627540888,1912.032275345869,42830.0,98865.0
20230407,1909.3462079958167,1926.3579678794845,1909.3462079958167,1916.9567321543,1916.9567321543,40360.0,93563.0
20230410,1925.014934204458,1945.1604393298533,1925.014934204458,1929.4917131212128,1936.2068814963445,65259.0,83194.0
20230411,1933.5208141462922,1946.0557951132046,1927.2533236628353,1942.0266940881254,1936.65455938802,38660.0,75980.0
20230412,1941.1313383047745,1941.5790161964496,1916.9567321543,1937.997593063047,1929.044035229537,68060.0,66039.0
20230413,1942.0266940881254,1945.608117221529,1924.1195784211068,1926.3579678794845,1935.3115257129928,43507.0,52304.0
20230414,1925.4445691275266,1938.688851030918,1920.420875991757,1935.0352560230856,1930.4682622632959,49691.0,119106.0
20230417,1936.405354151023,2009.0205549316863,1935.4919553990646,2004.4535611718961,1983.9020892528408,145505.0,122594.0
20230418,1997.603070532211,2002.62676366798,1984.3587886288199,1998.0597699081893,1992.5793773964417,76670.0,115315.0
20230419,1993.4927761484,1998.973168660148,1986.6422855087146,1994.4061749003574,1993.0360767724208,55142.0,119669.0
20230420,1984.815488004799,2001.713364916022,1950.1063354303933,1954.2166298142045,1970.6578073494488,98306.0,119589.0
20230421,1954.6733291901835,1956.5001266940994,1937.7754522789605,1949.6496360544143,1946.9094397985398,57951.0,119917.0
20230424,1950.1063354303933,1962.8939179578056,1930.924961639275,1946.4527404225607,1950.1063354303933,78892.0,123469.0
20230425,1948.2795379264774,1952.3898323102883,1920.8775753677364,1924.5311703755685,1930.924961639275,72601.0,128561.0
20230426,1922.7043728716528,1931.3816610152537,1914.48378410403,1923.6177716236105,1923.161072247632,56436.0,128548.0
20230427,1924.0744709995893,1940.9723479108127,1891.1921159291007,1924.5311703755685,1925.4445691275266,72065.0,124731.0
20230428,1925.4445691275266,1927.2713666314426,1908.0899928403242,1912.200287224135,1915.397182855988,56789.0,121447.0
20230504,1909.003391592282,1918.1373791118624,1898.0426065687855,1905.3497965844501,1907.176594088365,59377.0,126368.0
20230505,1905.3497965844501,1910.3734897202191,1893.9323121849743,1896.2158090648693,1900.78280282466,56879.0,129193.0
20230508,1893.4756128089953,1901.2395022006388,1872.92414088994,1896.2158090648693,1886.6251221693105,97460.0,133633.0
20230509,1891.64881530508,1897.129207816828,1882.5148277854992,1886.6251221693105,1888.9086190492053,56401.0,136988.0
20230510,1884.3416252894147,1911.2868884721768,1884.3416252894147,1896.6725084408488,1897.5859071928064,82243.0,138507.0
20230511,1903.522999080533,1908.0899928403242,1893.4756128089953,1896.2158090648693,1898.956005320744,48977.0,135367.0
20230512,1899.8694040727007,1904.436397832492,1877.034435273751,1896.6725084408488,1893.9323121849743,67364.0,132790.0
20230515,1890.7354165531208,1909.003391592282,1875.207637769835,1896.6725084408488,1892.5622140570374,85042.0,134723.0
20230516,1895.302410312912,1913.5703853520722,1892.1055146810584,1906.719894712387,1905.8064959604287,73445.0,134826.0
20230517,1904.436397832492,1915.8538822319672,1898.0426065687855,1907.176594088365,1907.633293464345,63298.0,136178.0
20230518,1908.0899928403242,1913.5703853520722,1889.3653184251846,1900.78280282466,1901.696201576617,66260.0,136377.0
20230519,1903.522999080533,1907.176594088365,1882.971527161479,1887.9952202972472,1893.9323121849743,59897.0,135034.0
20230522,1894.8457109369326,1906.719894712387,1863.79015337036,1868.8138465061288,1878.8612327776666,113206.0,134165.0
20230523,1872.467441513961,1878.404533401688,1868.8138465061288,1872.467441513961,1872.92414088994,41423.0,133192.0
20230524,1867.9004477541707,1903.522999080533,1859.223159610569,1878.8612327776666,1882.5148277854992,111070.0,133093.0
20230525,1878.8612327776666,1882.05812840952,1871.0973433860238,1875.664337145814,1876.5777358977718,39906.0,134492.0
20230526,1876.1210365217926,1887.5385209212686,1862.4200552424224,1879.3179321536456,1876.1210365217926,76653.0,135302.0
